customer_id,first_name,last_name,gender,dob,job,street,city,state,zip,lat,long,city_pop
630441765090,Susan,Washington,F,1965-07-26,Corporate investment banker,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791
4260059589824237,Aaron,Rogers,M,1945-03-15,Network engineer,969 Huerta Path Apt. 270,Valentine,NE,69201,42.8062,-100.6215,4005
180094608895855,Tammie,Harper,F,1961-05-19,Forensic psychologist,57887 Gutierrez Harbor,Westfir,OR,97492,43.7575,-122.481,597
4789911625179723,Dorothy,Zuniga,F,1988-04-27,"Research officer, trade union",77321 Ford Via,Moriches,NY,11955,40.8095,-72.8229,3285
213126662687660,Christopher,Luna,M,1971-01-28,Video editor,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858
4265776278887457,Christine,Best,F,1954-01-05,"Physicist, medical",68248 Deanna Land,Enola,AR,72047,35.2087,-92.2123,969
213178850083780,Shawn,King,M,1976-10-18,Dealer,31493 Garcia Summit,Athena,OR,97813,45.8289,-118.4971,1302
3547560454237873,Jerry,Robinson,M,1966-12-21,"Designer, jewellery",212 Mary Stream,Arcadia,MI,49613,44.5232,-86.2061,680
4433091568498503,Linda,Davis,F,1936-03-28,Clinical biochemist,493 Todd Views,Gaithersburg,MD,20882,39.2335,-77.1458,135332
3536918668124647,Michelle,Juarez,F,1955-06-12,Science writer,44864 Melton Vista Suite 310,San Jose,CA,95148,37.3304,-121.7913,973849
4707867759656333,Susan,Shah,F,1967-02-04,"Psychologist, counselling",9016 Jordan Bypass Apt. 516,Cranks,KY,40820,36.7558,-83.1838,581
4666314527820883145,Guy,Thompson,M,1974-06-21,"Solicitor, Scotland",5812 Ramos Oval Suite 598,Ravenna,NE,68869,41.0233,-98.9041,2202
2248735346244816,Jacob,Weber,M,1962-11-11,Product/process development scientist,29156 Mark Park Apt. 108,Utica,KS,67584,38.6411,-100.138,269
30273037698427,Andrew,Patterson,M,2000-06-13,Careers information officer,06959 Stephen Branch Suite 246,Thida,AR,72165,35.5762,-91.4539,111
30487648872433,Stephanie,Crane,F,1955-01-05,Counsellor,144 Martinez Curve,Central,IN,47110,38.097,-86.1723,350
4481131401752,Frank,Foster,M,1975-04-30,English as a second language teacher,37910 Ward Lights,Shrewsbury,MA,1545,42.2848,-71.7205,35299
5456776410929288,Taylor,Khan,F,1954-05-25,Patent attorney,658 Diane Glen Apt. 677,North Washington,PA,16048,41.0472,-79.8089,139
213112402583773,Ana,Howell,F,1984-06-03,Research scientist (physical sciences),4664 Sanchez Common Suite 930,Bradley,SC,29819,34.0326,-82.2027,1523
4683520018489354,Charles,Carrillo,M,1995-04-19,"Editor, magazine features",17547 Stephen Turnpike Apt. 846,Hawthorne,CA,90250,33.9143,-118.3493,93193
4149238353975790,Tanner,Carroll,M,1989-04-08,Dealer,494 Burke Ports,Cokeburg,PA,15324,40.1008,-80.0652,632
2260801330657968,Monique,Fox,F,1926-09-14,Accounting technician,755 Gardner Heights Apt. 420,Paxton,MA,1612,42.3066,-71.9202,4845
6011388901471808,Jacqueline,Marsh,F,1951-02-05,Mining engineer,950 Sheryl Spurs,Dunlevy,PA,15432,40.1151,-79.8627,427
3519607465576254,Audrey,Gonzalez,F,1929-05-06,"Scientist, audiological",34180 Lopez Plaza,Fields Landing,CA,95537,40.7268,-124.2174,276
213113028819344,Melanie,Jimenez,F,1959-09-27,Building control surveyor,77944 Daniels Valley Suite 921,Camden,NY,13316,43.3392,-75.7543,6460
4653879239169997,Monica,Tucker,F,1999-06-06,"Therapist, sports",302 Christina Islands,Smiths Grove,KY,42171,37.0581,-86.1938,6841
3541160328600277,Jason,Singh,M,2003-05-07,Commercial/residential surveyor,4720 Anna Ways,Murrayville,IL,62668,39.5723,-90.2379,1512
374821819075109,Zachary,Boone,M,1927-12-11,Exhibition designer,3703 Benson Wells,Palmyra,NY,14522,43.0622,-77.2218,9565
4079773899158,Eric,Preston,M,1965-12-15,Cartographer,7020 Doyle Stream Apt. 951,Mesa,ID,83643,44.6255,-116.4493,129
4488258847705225890,Jessica,Shaw,F,1929-08-23,Chemical engineer,5745 Blair Locks,West Columbia,SC,29170,33.9568,-81.1405,52126
3533742182628021,Robert,Haynes,M,1997-06-04,Materials engineer,857 Aaron Circles Suite 398,Johns Island,SC,29455,32.8357,-79.8217,20478
6517217825320610,James,Reese,M,1958-06-11,"Librarian, academic",26975 Richardson Mills Apt. 402,Sontag,MS,39665,31.6453,-90.1801,1196
6573561108825071,Kristina,Lewis,F,1968-06-18,Bookseller,5449 Brandi Heights Apt. 111,Tulsa,OK,74130,36.2395,-95.9596,413574
4561892980175,Jacqueline,Allen,F,1968-02-10,Financial adviser,166 Lisa Fords,Greenwood,IN,46143,39.596,-86.1309,78968
6011231546538393,Johnny,Bennett,M,1993-07-05,"Psychologist, sport and exercise",321 Camacho Causeway,Boonton,NJ,7005,40.9115,-74.414,15269
341546199006537,Mark,Brown,M,1939-11-09,"Administrator, education",8580 Moore Cove,Wales,AK,99783,64.7556,-165.6723,145
4710792708725663,Justin,Bell,M,1986-12-13,"Research officer, trade union",954 Green Wall,Churubusco,IN,46723,41.229,-85.3244,7692
4586260469584,Melody,Thompson,F,1953-01-20,Architect,0362 Anderson Wall,Mound City,MO,64470,40.1362,-95.2138,1631
4587657402165341815,Amber,Lewis,F,2004-05-08,"Psychotherapist, child",6296 John Keys Suite 858,Pembroke Township,IL,60958,41.0646,-87.5917,2135
3559160581764413,Allen,Bell,M,1974-02-15,Toxicologist,70147 Amanda Fields,Saint Bonaventure,NY,14778,42.2701,-78.6847,1453
501802953619,Robert,Flores,M,1958-09-20,Call centre manager,3277 Fields Meadows Apt. 790,Greenview,CA,96037,41.5403,-122.9366,308
3561212938177173,Jose,Campbell,M,1977-01-04,Minerals surveyor,550 Cunningham Squares,Dadeville,AL,36853,32.8224,-85.7704,8269
3519232971341141,Michael,Jones,M,1961-09-10,Mental health nurse,754 Smith Isle,Amsterdam,OH,43903,40.4731,-80.9596,2208
6597888193422452,Bill,Lane,M,1964-08-23,Chief Technology Officer,4725 Hurst Curve Apt. 634,Holliday,TX,76366,33.6751,-98.6576,2317
4099707841315751,James,Stephens,M,1975-07-07,"Designer, ceramics/pottery",1166 Castillo Mountains,Ruckersville,VA,22968,38.2586,-78.4074,9815
571844099986,Susan,Mills,F,1952-04-02,Engineering geologist,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284
4255397449664185994,George,Smith,M,1952-09-27,"Designer, interior/spatial",7377 Walton Extensions Apt. 979,Dallas,TX,75236,32.69,-96.9177,1263321
213161231269724,Alyssa,Morgan,F,1963-02-09,Physiological scientist,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082
6011934240159560,Joshua,Cohen,M,1974-11-02,"Loss adjuster, chartered",426 Mark Ports,Brooklin,ME,4616,44.2541,-68.5565,824
4457732997086323466,Stanley,Mayo,M,1987-05-19,Immigration officer,3433 Jones Branch,Fiddletown,CA,95629,38.5234,-120.6763,832
4797297220948468262,Erica,Briggs,F,1991-03-13,Counsellor,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228
180072527505094,Cody,Miller,M,1953-12-08,Control and instrumentation engineer,25748 John Wells,Mooresville,NC,28117,35.584,-80.8685,69793
3543591270174051,Margaret,Lam,F,1972-10-04,Early years teacher,6911 Nicholas Keys Apt. 237,Armagh,PA,15920,40.4603,-79.0097,922
4586810168620942,Michelle,Gregory,F,1997-07-05,"Sales professional, IT",6983 Carrillo Isle,Edisto Island,SC,29438,32.5486,-80.307,2408
180065479077096,Krystal,Gamble,F,1964-02-15,Clinical research associate,47152 Clayton Burg,Manchester,MD,21102,39.6747,-76.8941,11751
3546897637165774,Kayla,Obrien,F,1956-05-30,Barrister,7921 Robert Port Suite 343,Prairie Hill,TX,76678,31.6591,-96.8094,263
30143535920989,Lisa,Collins,F,1980-08-17,"Engineer, control and instrumentation",44197 Jeffrey Port Suite 050,Bridgeport,NJ,8014,39.8016,-75.3478,504
30371006069917,Robert,James,M,1961-01-31,"Development worker, community",92021 Miranda Meadows,Tamaroa,IL,62888,38.138000000000005,-89.2231,2135
4292743669224718067,Michael,Williams,M,1973-06-09,Art therapist,35822 Clayton Street Apt. 679,Great Mills,MD,20634,38.2674,-76.4954,5927
2254917871818484,Margaret,Gibson,F,1976-03-26,Insurance underwriter,382 Williams Stream Suite 197,Scotland,MD,20687,38.0828,-76.3477,313
4464457352619,Breanna,Rodriguez,F,1990-01-24,Television production assistant,118 Cabrera Springs Apt. 105,Lanark Village,FL,32323,29.8826,-84.5964,217
4952583804639909,Patricia,Rodriguez,F,1957-04-05,Magazine features editor,386 Randolph Throughway,Warren,OH,44483,41.2639,-80.8164,75903
4155021259183870,Renee,Parrish,F,1983-10-12,Research scientist (life sciences),174 Jennifer Meadow Apt. 467,Mountain Park,OK,73559,34.7032,-98.9591,540
